Height,Weight,BMI,Obese
65.78331,112.9925,18.79968923,0
71.51521,136.4873,19.21444756,0
69.39874,153.0269,22.87689642,1
68.2166,142.3354,22.02243227,1
67.78781,144.2971,22.60928833,1
68.69784,123.3024,18.81125896,0
69.80204,141.4947,20.90915291,1
70.01472,136.4623,20.04317279,1
67.90265,112.3723,17.54762397,0
66.78236,120.6672,19.48041511,0
66.48769,127.4516,20.75846803,1
67.62333,114.143,17.97167984,0
68.30248,125.6107,19.38590975,0
67.11656,122.4618,19.57373738,0
68.27967,116.0866,17.92799659,0
71.0916,139.9975,19.94418066,0
66.461,129.5023,21.1094168,1
68.64927,142.9733,21.84316624,1
71.23033,137.9025,19.56927441,0
67.13118,124.0449,19.81813797,0
67.83379,141.2807,22.10666191,1
68.87881,143.5392,21.78370501,1
63.48115,97.90191,17.49178336,0
68.42187,129.5027,19.91688614,0
67.62804,141.8501,22.331019,1
67.20864,129.7244,20.677782,1
70.84235,142.4235,20.43281637,1
67.49434,131.5502,20.79166645,1
66.53401,108.3324,17.61990095,0
65.44098,113.8922,19.14815303,0
69.5233,103.3016,15.38787991,0
65.8132,120.7536,20.07273578,1
67.8163,125.7886,19.69271507,0
70.59505,136.2225,19.68035112,0
71.80484,140.1015,19.56445903,0
69.20613,128.7487,19.35469004,0
66.80368,141.7994,22.87737102,1
67.65893,121.2319,19.06773719,0
67.80701,131.3478,20.56866528,1
64.04535,106.7115,18.73132565,0
68.57463,124.3598,19.0408164,0
65.18357,124.8591,21.15808764,1
69.65814,139.6711,20.72503642,1
67.96731,137.3696,21.41031054,1
65.98088,106.4499,17.60522368,0
68.67249,128.7639,19.65898218,0
66.88088,145.6837,23.44981937,1
67.69868,116.819,18.35209206,0
69.82117,143.6215,21.21180913,1
69.08817,134.9325,20.35362107,1
69.91479,147.0219,21.65590873,1
67.33182,126.3285,20.0628732,1
70.26939,125.4839,18.29734755,0
69.10344,115.7084,17.44608765,0
65.38356,123.4892,20.7981328,1
70.18447,147.8926,21.6170731,1
70.40617,155.8987,22.64402107,1
66.54376,128.0742,20.82473458,1
66.36418,119.3701,19.51464202,0
67.537,133.8148,21.12287919,1
66.50418,128.7325,20.95669602,1
68.99958,137.5453,20.80105474,1
68.30355,129.7604,20.02571908,1
67.01255,128.824,20.65460947,1
70.80592,135.3165,19.4331907,0
68.21951,109.6113,16.95784392,0
69.05914,142.4684,21.50843008,1
67.73103,132.749,20.83475484,1
67.21568,103.5275,16.49859759,0
67.36763,124.7299,19.78793761,0
65.27033,129.3137,21.8547286,1
70.84278,134.0175,19.22661447,0
